Config,Weight,Seed,BestEpisode,Cost,Delay,ScalarQReferenceBounds,EvaluationAlpha,EvaluationBestQ,ReferenceLowerCost,ReferenceLowerDelay,ReferenceUpperCost,ReferenceUpperDelay
10_100,0.1,42,26,2876.0332693161927,207.8031518856212,0.4633887736500515,,,,,,
10_100,0.3,42,14,2663.6720463042766,188.0956424561608,0.5033392040292267,,,,,,
10_100,0.5,42,14,2496.0305198086858,188.50172053204784,0.5791767472282928,,,,,,
10_100,0.7,42,42,2046.7100784273373,251.1562857001795,0.5798867035705536,,,,,,
10_100,0.9,42,34,1703.668722987078,317.3156446409107,0.4355011404375239,,,,,,
10_130,0.1,42,28,2799.706474043342,262.1306471034242,0.5328910912886147,,,,,,
10_130,0.3,42,182,2471.584458085808,252.1544803501856,0.5559208927489798,,,,,,
10_130,0.5,42,182,2264.018398459388,270.92744577643134,0.6125035722494094,,,,,,
10_130,0.7,42,80,1778.3219963218917,383.4449733119365,0.5837721710067599,,,,,,
10_130,0.9,42,80,1867.540973316968,346.1887901313108,0.5021631504825734,,,,,,
10_150,0.1,42,217,2878.2575821955525,293.47843336982925,0.3192098227178394,,,,,,
10_150,0.3,42,230,2556.5334735575343,302.7708209707868,0.4295611301438593,,,,,,
10_150,0.5,42,137,2159.7102526545823,363.0109438294445,0.4971969240136871,,,,,,
10_150,0.7,42,284,2179.96389933107,412.1105308053939,0.575607074333558,,,,,,
10_150,0.9,42,80,1859.7348103143436,435.5979858127809,0.4337203186398812,,,,,,
10_180,0.1,42,30,2838.637005291313,346.1947218214746,0.3392716560749104,,,,,,
10_180,0.3,42,310,2577.047615649615,361.6403218628741,0.4774004451915118,,,,,,
10_180,0.5,42,311,2304.6557239638,401.7172027077006,0.5553024824771503,,,,,,
10_180,0.7,42,118,2274.9552935751144,380.883082933314,0.6010353070176417,,,,,,
10_180,0.9,42,80,2090.5325637771925,401.68666420441,0.5726734505783121,,,,,,
15_130,0.1,42,227,3679.645628321206,172.08639235855549,0.3051151870287505,,,,,,
15_130,0.3,42,227,3572.822041902956,184.76094343440909,0.4965663698789593,,,,,,
15_130,0.5,42,4,2982.456579942611,241.5362004518125,0.6286143946603968,,,,,,
15_130,0.7,42,31,2830.623769765389,271.97243267726714,0.6777093860127277,,,,,,
15_130,0.9,42,4,2885.313242138737,241.5362004518125,0.7129504240297911,,,,,,
20_130,0.1,42,284,4515.100134242935,147.80683290139086,0.3107889761852165,,,,,,
20_130,0.3,42,284,4439.873384971455,141.97781290530048,0.517316155515736,,,,,,
20_130,0.5,42,306,3804.040331586456,193.32212652621416,0.707721081300196,,,,,,
20_130,0.7,42,156,4087.284930864701,181.36679770902492,0.915494219936372,,,,,,
20_130,0.9,42,66,3822.786440357264,206.77062776916347,0.996563809597086,,,,,,
5_130,0.1,42,46,1865.2852322507572,461.3482109519581,0.4317049716408823,,,,,,
5_130,0.3,42,19,1832.8901434917484,427.7070802843781,0.4641923661543261,,,,,,
5_130,0.5,42,58,1447.3979276986083,506.6454608964124,0.4815970897174992,,,,,,
5_130,0.7,42,58,1396.819081709208,522.1916534999011,0.4434145082699872,,,,,,
5_130,0.9,42,58,1396.819081709208,522.1916534999011,0.4117600459600574,,,,,,
real_sparse_r04_c40_u130_k10_s1,0.1,42,188,2853.210294067856,212.6536619115901,0.3229661246468204,0.5,0.6945115237619888,949.9403871819728,139.24860153286585,2592.186346748364,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.3,42,225,2968.3646170843026,177.7578114599395,0.4532108914886085,0.5,0.6748830067144627,949.9403871819728,139.24860153286585,2592.186346748364,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.5,42,26,2442.116254481157,200.15803289319888,0.5497663223641392,0.5,0.5497663223641392,949.9403871819728,139.24860153286585,2592.186346748364,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.7,42,34,1927.3145283802787,323.842424074887,0.5901778329669638,0.5,0.5868665224067133,949.9403871819728,139.24860153286585,2592.186346748364,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.9,42,70,1984.6547781086476,218.2308624004245,0.5918105813847565,0.5,0.4388107108038428,949.9403871819728,139.24860153286585,2592.186346748364,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.1,43,27,2456.7524160943026,214.7909874327169,0.4835115654414015,0.5,0.6972522843593995,972.9643065688264,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.3,43,27,2145.1413088165764,234.7378234402619,0.6015467448967197,0.5,0.6473585669701263,972.9643065688264,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.5,43,27,2115.1869002496032,234.77201701503213,0.6377117993691129,0.5,0.6377117993691129,972.9643065688264,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.7,43,307,1548.293249610328,339.6840737674919,0.5837977792014016,0.5,0.7236959016618485,972.9643065688264,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.9,43,265,1221.3230409462055,376.8954134662699,0.2717976140155795,0.5,0.7132781836276834,972.9643065688264,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.1,44,20,2911.350834168671,175.6901455916151,0.2586695231315266,0.5,0.6320079196714027,965.8877245399811,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.3,44,20,2969.850685803412,175.6901455916151,0.455249883976109,0.5,0.6485265239624766,965.8877245399811,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.5,44,1,2300.8530864666527,232.95995901420065,0.5784540307874697,0.5,0.5784540307874697,965.8877245399811,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.7,44,96,1751.6359746958094,311.4654057687024,0.529257582683027,0.5,0.5862669720549041,965.8877245399811,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.9,44,250,1739.27385697304,317.5425342635182,0.468486904207069,0.5,0.5953860579887824,965.8877245399811,135.84956995450497,2736.6139494654226,376.81847521701104
